userid,n_in_region,n_in_region_raw,n_global
23755,5,5,170
23770,3,4,4
23779,15,15,197
23788,2,2,26
23789,36,37,341
23795,22,22,584
23802,7,8,104
23809,1,1,45
23822,3,3,366
23826,1,1,1
23831,32,34,3144
23835,4,4,89
23853,2,2,3
23856,73,75,662
23872,96,99,136
23876,2,2,71
23887,1,1,353
23888,3,3,1541
23892,2,2,89
23906,14,14,643
23908,2,2,30
23911,3,3,45
23919,26,28,2170
23928,9,9,95
23930,488,510,876
23933,156,159,440
23934,4,4,104
23936,46,50,571
23937,3,3,3
23940,6,6,297
23946,6,6,519
23948,31,31,109
23976,99,107,141
23978,11,11,60
23984,34,34,637
23995,58,58,1644
23996,319,340,441
24000,4,4,239
24005,17,17,211
24009,20,20,653
24010,11,11,279
24019,37,40,95
24023,20,20,281
24024,4,4,52
24028,3,3,288
24032,6,6,77
24041,7,7,251
24057,21,21,146
24073,71,71,395
24080,38,38,479
24088,56,58,1153
24133,2,2,43
24151,10,10,83
24214,1,1,157
24218,27,28,1645
24271,1,1,44
24327,1,1,1584
24328,1,1,253
24332,10,10,663
24350,7,7,1168
24352,32,33,2116
24353,3,3,1732
24358,2,2,656
24378,31,32,383
24380,103,107,584
24388,11,13,276
24420,41,43,56
24441,1,1,51
24445,4,4,110
24452,1,1,203
24478,1,1,65
24481,32,37,434
24497,40,40,691
24504,1,1,44
24531,5,6,241
24539,1,1,119
24556,99,100,147
24574,54,54,126
24579,35,35,1411
24588,9,9,344
24594,18,19,752
24598,1,1,43
24605,6,6,17
24614,27,29,494
24625,55,58,82
24626,10,10,195
24627,9,9,71
24632,1,1,42
24633,4,4,85
24640,19,19,418
24651,4,4,36
24655,11,11,155
24671,1,1,1
24672,33,33,48
24676,4,4,461
24678,2,2,64
24689,14,15,134
24694,44,45,440
24697,18,18,349
24733,7,7,56
24770,2,2,64
24788,13,13,70
24817,8,8,322
24845,14,14,1887
24869,3,3,88
24894,58,58,433
24903,38,38,1044
24906,21,21,248
24944,423,428,711
24955,11,11,359
24976,1,1,475
24987,2,2,222
24993,1,1,36
25006,12,14,109
25012,31,33,722
25049,2,2,560
25052,109,110,155
25054,11,13,893
25060,2,2,2
25078,27,27,224
25080,23,25,189
25094,2,2,706
25101,594,610,7360
25115,5,5,11
25117,7,12,104
25130,4,4,141
25159,3,3,233
25163,28,28,72
25164,7,7,116
25170,2,2,10
25196,1,1,114
25217,1,1,893
25250,3,3,111
25255,172,178,384
25259,28,28,333
25268,10,11,12
25274,44,48,817
25283,345,347,372
25293,38,38,44
25295,15,15,675
25300,128,129,168
25303,10,10,260
25307,19,19,194
25315,17,17,222
25316,32,32,449
25321,1,1,553
25329,1,1,45
25330,9,9,619
25333,10,10,122
25344,4,4,32
25346,5,5,1418
25369,15,15,230
25373,995,1005,1105
25374,220,221,870
25377,51,51,424
25379,1,1,595
25384,1,1,1
25386,66,66,75
25388,3,3,973
25390,3,3,35
25398,9,9,577
25402,13,13,13
25403,1,1,31
25404,12,12,506
25417,47,47,572
25428,2,2,23
25434,3,3,3
25436,1,1,9
25439,9,10,1071
25494,7,7,261
25537,5,5,52
25544,12,13,661
25565,4,4,119
25584,4,4,5
25603,5,5,39
25614,21,22,22
25624,23,23,62
25632,25,25,192
25637,9,9,804
25642,11,13,1587
25643,32,33,772
25649,6,6,287
25650,33,33,46
25659,21,21,905
25669,411,422,860
25689,3,3,3001
25697,1,2,317
25705,13,13,178
25718,28,29,1079
25738,19,19,60
25740,284,326,589
25743,8,8,487
25744,7,7,156
25748,47,48,750
25751,1,1,23
25756,2,2,207
25798,12,12,784
25799,8,8,217
25804,3,3,327
25814,9,9,779
25815,456,464,507
25817,5,5,46
25818,107,114,1763
25829,2,2,3
25833,1,1,6
25849,1,1,12
25852,19,20,296
25866,1,1,16
25886,5,5,5
25887,6,6,372
25895,1,1,79
25917,12,13,132
25925,126,127,641
25929,23,23,1437
25933,78,79,664
25957,482,485,821
25959,6,6,371
25963,2,2,279
25988,24,25,126
25996,2,2,253
25997,16,16,3076
26005,11,11,568
26010,53,53,184
26013,2,2,268
26036,29,29,309
26043,1,1,4
26068,7,7,46
26087,1,1,237
26106,2,2,50
26113,3,3,34
26127,3,3,97
26157,1,1,1
26165,17,17,313
26166,25,26,1117
26173,25,27,538
26183,201,214,1942
26193,10,10,331
26194,17,17,170
26196,9,9,9
26197,16,17,419
26198,1,1,19
26199,5,5,195
26200,3,3,692
26212,4,4,12
26222,7,7,171
26225,25,25,34
26231,2,2,38
26232,7,7,514
26236,1,1,19
26245,91,91,691
26246,33,33,267
26250,11,13,56
26255,11,11,1077
26273,122,122,473
26274,20,20,740
26279,1,1,17
26290,13,14,1184
26295,2,2,69
26306,10,10,10
26313,109,110,220
26328,7,7,165
26342,53,54,7292
26346,289,303,3702
26353,15,15,259
26359,7,7,168
26387,22,22,780
26390,1,1,1510
26405,16,17,3763
26437,2,2,18
26454,4,4,175
26456,16,16,490
26476,78,83,396
26484,112,142,1700
26498,45,46,59
26516,7,7,475
26520,28,28,1183
26523,1,1,1179
26528,4,4,35
26567,75,75,121
26571,14,14,56
26583,3,3,1011
26587,15,16,1789
26589,42,47,573
26591,3,3,6
26593,13,13,20
26607,5,5,609
26614,81,81,750
26616,1,1,523
26621,43,44,1730
26623,639,642,1470
26625,4,4,41
26627,2,3,1379
26630,1,1,292
26631,11,11,240
26636,240,242,324
26651,8,8,144
26656,43,44,57
26665,3,3,20
26676,1,1,20
26684,2,2,419
26690,2,2,36
26700,22,22,562
26712,8,8,312
26713,32,33,480
26726,4,4,8
26740,3,3,23
26743,376,388,1159
26757,13,13,67
26761,8,8,100
26766,24,24,372
26771,2,2,130
26775,10,10,10
26783,6,6,127
26787,1,1,110
26790,32,34,1805
26810,41,41,151
26812,1,1,14
26818,16,16,217
26830,390,404,415
26842,1,1,109
26845,28,28,37
26857,24,26,1465
26863,4,4,78
26864,17,18,175
26885,187,205,3830
26893,1,1,78
26894,40,43,247
26898,8,8,193
26903,3,3,554
26906,1,1,895
26909,3,3,67
26911,11,11,34
26914,4,4,22
26929,12,13,381
26935,507,540,541
26952,3,3,143
26961,2,2,30
27022,21,22,2919
27046,39,45,180
27064,6,6,161
27067,1,1,119
27092,6,6,6
27126,31,34,1794
27149,9,9,74
27197,6,6,42
27206,16,16,39
27211,1,1,650
27215,1,1,401
27218,4,4,255
27233,16,16,479
27237,1,1,209
27260,13,13,292
27285,50,54,351
27286,26,26,669
27289,1,1,1
27356,17,17,21
27357,92,92,229
27363,3,3,71
27370,12,12,2996
27389,28,29,134
27399,6,6,626
27407,111,111,572
27408,772,795,2247
27409,1,1,103
27431,17,17,25
27435,6,6,257
27436,6,6,8
27445,4,4,266
27455,3,3,235
27467,30,31,594
27476,14,14,259
27498,21,21,58
27526,11,11,124
27563,9,9,147
27593,4,5,194
27628,75,79,144
27705,8,8,17
27727,29,30,244
27731,161,166,166
27740,2,2,956
27746,190,196,3106
27756,9,9,639
27763,1,1,56
27771,3,3,27
27777,2,2,185
27779,3,3,91
27790,42,42,296
27804,17,19,783
27825,1,1,253
27826,1,1,448
27829,5,5,5
27847,1,1,20
27867,2,2,95
27878,41,44,1081
27893,11,11,355
27915,5,6,9
27917,45,46,65
27921,1,1,20
27966,9,9,55
27973,81,90,117
27985,10,10,190
28001,9,9,11
28006,43,46,977
28009,1,1,3
28016,3,4,353
28028,61,73,3229
28030,1,1,9
28035,32,34,208
28040,4,4,164
28050,21,23,24
28052,7,7,10
28053,19,20,1031
28094,1,1,334
28101,179,179,659
28177,29,29,56
28178,12,12,282
28203,2,2,12
28241,1,1,12
28249,2,2,16
28262,1,1,115
28266,4,4,124
28298,2,2,79
28309,2,2,29
28311,5,5,59
28312,1,1,583
28313,283,283,309
28314,1,1,4
28320,235,244,300
28327,5,5,22
28328,28,28,634
28332,323,485,1521
28350,2,2,1600
28359,82,82,96
28360,22,22,193
28380,7,7,124
28402,9,9,294
28406,1,1,12
28410,11,11,541
28414,9,9,308
28436,8,8,168
28439,1,1,62
28445,3,3,302
28452,4,4,220
28459,5,5,81
28460,471,510,5930
28467,2,2,346
28499,4,4,2376
28509,1786,1867,28921
28510,27,27,282
28514,18,18,229
28520,62,62,975
28529,1,1,8
28530,67,69,141
28542,10,10,45
28553,6,6,8
28555,2,4,1455
28567,23,23,289
28568,4,4,7
28572,7,7,105
28577,7,7,152
28583,54,62,1412
28584,14,14,298
28587,5,5,11
28590,1,1,257
28592,3,3,5
28595,2,2,25
28596,73,74,416
28607,83,84,689
28623,8,8,151
28628,1,1,231
28634,59,60,341
28641,5,5,28
28649,62,68,130
28657,3,3,14
28661,25,25,191
28665,1,1,94
28673,1,1,588
28676,8,8,215
28680,2,2,176
28711,10,11,12
28720,6,6,549
28738,3,3,622
28764,3,4,116
28789,1,1,32
28807,163,166,1011
28819,5,5,172
28833,5,7,1079
28837,1,1,31
28848,18,18,249
28851,38,38,88
28853,1,1,543
28861,19,19,131
28862,2,2,128
28871,6,6,718
28891,1,1,60
28897,1,2,9
28898,16,17,206
28914,76,77,875
28921,2,2,141
28935,56,56,63
28957,5,5,278
28963,33,33,994
28992,13,14,735
28993,58,59,99
28998,4,4,78
29030,17,17,26
29040,4,4,1944
29055,7,7,667
29056,1,1,58
29057,1,1,812
29058,1217,1240,1837
29059,3,3,26
29064,17,17,420
29072,39,39,143
29088,1,1,2
29092,4,4,4
29130,13,13,13
29141,4,4,293
29149,248,250,538
29151,5,5,125
29157,5,5,306
29168,10,10,50
29172,2,2,21
29183,14,14,47
29197,58,58,467
29198,6,6,346
29199,5,5,13
29204,8,8,18
29206,155,155,12303
29208,2,2,44
29214,1,1,328
29215,2,2,30
29230,21,21,684
29234,21,21,34
29238,9,9,618
29248,59,59,1435
29261,5,5,137
29277,1,1,9
29281,16,16,1668
29295,61,61,783
29349,3,3,4
29371,1,1,267
29374,3,3,948
29402,23,24,53
29407,1,1,59
29411,3,3,87
29412,37,37,1607
29414,85,94,1797
29431,22,22,31
29444,13,13,85
29445,1,1,5
29471,70,70,434
29487,18,19,184
29490,3,4,4
29508,97,98,120
29509,3,3,106
29518,1,1,1
29540,1,1,130
29546,20,22,1399
29560,10,10,838
29562,17,17,196
29587,6,6,46
29588,39,39,1451
29589,5,5,610
29591,7,7,214
29602,17,17,76
29607,2,2,55
29616,16,16,581
29617,4,4,7
29631,70,70,678
29634,3,3,4
29639,1,1,101
29647,3,3,3
29650,11,11,280
29652,3,3,150
29653,10,10,67
29661,6,6,602
29665,5,5,141
29670,17,19,317
29675,2,2,61
29676,4,4,130
29679,10,10,15
29686,26,27,657
29710,31,31,780
29716,23,23,600
29717,1,1,47
29718,1,1,206
29719,7,7,311
29725,3,3,199
29726,1,1,1
29736,9,10,122
29740,31,31,364
29742,27,27,153
29752,14,14,430
29754,114,144,217
29767,13,13,42
29772,60,64,153
29775,1,1,24
29788,101,108,189
29796,2,2,8
29798,17,17,23
29805,4,4,4
29807,17,17,26
29810,2095,2115,2698
29850,3,3,12
29882,2,2,27
29884,18,18,618
29899,11,11,142
29900,1,1,7
29912,5,5,251
29927,2,2,34
29955,3,3,211
30012,1,1,292
30019,1,1,68
30034,21,23,456
30093,1,1,73
30101,5,5,1092
30111,1,1,131
30112,54,54,569
30141,1,1,125
30151,416,424,1254
30158,1,1,15
30195,1,1,1
30209,1,1,120
30266,8,8,32
30273,164,165,698
30337,2,2,334
30341,2,2,127
30350,30,30,811
30360,11,11,13
30406,72,77,272
30435,16,16,29
30470,10,10,327
30519,19,20,209
30562,15,15,484
30568,51,52,179
30571,50,50,449
30577,3,3,368
30603,1422,1437,35162
30652,741,770,1834
30665,13,13,52
30673,11,11,59
30691,6,6,645
30707,7,7,116
30803,1,1,10
30804,18,20,560
30822,3,3,7
30833,1,1,1
30837,12,12,161
30921,2,2,17
30937,51,51,1075
30997,2,2,16
31003,1,1,108
31012,6,6,78
31013,16,16,18
31025,2,2,460
31026,7,7,85
31077,33,34,129
31121,6,6,633
31129,82,82,91
31134,312,317,344
31139,72,72,3076
31142,2,2,140
31146,36,36,39
31161,2,2,46
31173,1,1,20
31178,1,1,40
31190,1,1,69
31194,4,4,299
31233,23,23,433
31273,3,3,53
31285,6,6,123
31302,15,15,878
31313,1,1,208
31316,6,6,35
31333,1,1,124
31340,1,1,14
31349,11,12,1201
31353,10,10,231
31365,12,12,226
31390,3,3,10
31401,3,3,145
31459,2,3,553
31465,1,1,73
31471,4,4,76
31508,47,48,378
31533,58,58,70
31554,15,15,1287
31570,2,2,98
31576,3,3,638
31589,6,8,221
31617,73,73,849
31653,20,20,146
31678,4,4,4
31703,259,261,368
31750,17,17,314
31774,5,5,632
31789,151,160,607
31794,2,2,35
31803,4,5,599
31808,3,3,411
31830,10,10,146
31876,29,29,36
31907,3,4,665
31910,10,10,64
31916,6,6,7
31918,1,1,180
31954,14,14,146
31999,11,12,14
32004,16,17,624
32027,3,3,328
32067,5,5,137
32130,1,1,146
32160,5,5,5
32173,7,7,194
32201,80,80,1073
32202,51,52,563
32230,1,1,131
32235,58,59,201
32249,3,3,3
32257,1,1,542
32294,42,44,183
32307,3,4,274
32336,3,3,3
32356,2,2,2
32389,9,9,633
32421,71,71,99
32428,5,5,224
32498,67,69,687
32538,17,17,64
32565,12,12,440
32582,3,3,957
32583,4,4,224
32595,23,23,175
32603,2,2,12
32606,4,4,11
32685,2,2,120
32697,3,3,741
32732,223,225,286
32774,10,10,339
32781,15,15,215
32805,48,52,181
32844,18,18,97
32845,29,29,559
32852,3,3,737
32867,1,1,101
32873,20,20,20
32901,9,9,430
32908,35,36,997
33006,29,29,49
33023,6,6,1574
33063,15,15,307
33075,32,32,32
33093,3,3,72
33115,3,3,100
33121,593,607,1021
33129,1,1,203
33133,51,58,505
33142,9,9,438
33157,2,2,105
33172,282,295,339
33195,90,97,1980
33214,24,32,98
33229,111,111,172
33250,14,14,54
33298,35,35,76
33373,18,19,2197
33397,1,1,78
33452,3,3,53
33481,2,2,93
33524,14,14,141
33531,1,2,6
33549,1,1,31
33575,10,10,108
33576,94,96,574
33578,5,5,272
33579,1,1,818
33671,2,2,392
33698,5,5,143
33703,4,4,185
33759,1,1,338
33784,3,3,29
33785,27,28,513
33801,3,3,149
33808,8,8,21
33844,39,41,615
33890,1,1,7
33949,126,126,141
33950,4,4,74
33981,5,5,155
34040,17,17,47
34091,161,161,214
34100,5,5,24
34117,1,1,163
34168,2,2,31
34173,26,26,203
34182,144,146,191
34185,2,2,329
34206,41,41,5127
34209,2,2,3
34212,51,53,2460
34232,36,36,525
34234,1,1,13
34240,84,85,3475
34243,1,1,138
34245,3,3,187
34273,20,21,1420
34286,2,2,33
34288,249,251,391
34319,19,19,835
34329,7,7,85
34330,3,3,23
34349,27,27,293
34366,1,1,337
34376,8,8,13
34394,16,16,609
34421,1,1,9462
34425,26,28,65
34455,1,1,7
34476,73,73,92
34514,12,12,36
34519,6,6,39
34533,27,27,31
34585,2,2,118
34609,11,11,42
34631,4,4,47
34657,70,70,312
34711,3,3,40
34715,5,6,259
34733,62,62,591
34736,11,11,1065
34737,1,1,69
34738,7,7,79
34795,48,50,205
34830,5,5,16
34868,41,41,1916
34871,26,26,1278
34881,2,2,18
34937,17,17,640
34942,3,3,315
34960,1,1,144
34993,1,1,121
35021,197,197,236
35063,1,1,134
35102,10,10,175
35129,3611,3777,3824
35246,41,41,41
35271,65,65,143
35282,1150,1309,5272
35311,32,34,288
35321,4,4,27
35373,1,1,1
35398,4,4,4
35430,60,62,1318
35515,31,33,462
35535,4,4,84
35559,1,1,72
35571,6,6,86
35644,2,2,5
35655,71,71,105
35674,4,4,242
35685,1,1,66
35686,18,18,296
35697,1,1,76
35722,3,3,156
35725,12,12,22
35735,31,31,1862
35786,12,12,68
35799,1,1,71
35809,1288,1345,1506
35909,19,19,29
35960,12,12,791
35964,1,1,308
36012,2,2,52
36043,213,217,487
36057,24,24,272
36062,7,7,10
36066,108,108,474
36085,2,2,20
36114,5,5,208
36121,1,1,148
36148,3,3,115
36244,1,1,50
36300,5,5,12
36314,2,2,79
36316,94,97,110
36319,2,2,3
36329,4,4,30
36380,1,1,24
36471,3,3,567
36487,5,5,64
36512,1,2,220
36579,121,121,167
36604,85,88,732
36626,1,1,113
36677,18,19,399
36681,10,10,149
36686,11,11,84
36699,2,5,340
36705,2,2,18
36728,1,1,624
36752,115,115,117
36795,405,412,930
36802,1,1,20
36820,13,15,72
36894,8,8,76
36905,1,1,221
36922,52,53,72
36935,35,35,52
36938,1,1,5856
36950,3,3,77
37004,101,102,952
37054,1,1,46
37061,1,1,289
37097,14,14,14
37099,7,7,136
37101,1,1,1
37102,148,154,323
37115,10,11,34
37120,4,4,130
37181,4,4,60
37184,18,18,486
37256,21,21,333
37280,1,1,65
37286,17,17,978
37304,3,3,8
37311,1,1,16
37314,1,1,152
37349,2,2,2
37378,207,227,1252
37398,2,2,248
37434,1,1,165
37575,4,4,4
37594,78,78,134
37601,16,16,889
37605,61,61,70
37660,12,12,37
37668,6,6,64
37712,280,286,588
37723,171,182,182
37737,100,101,105
37794,11,11,100
37838,35,36,1584
37847,33,34,560
37868,45,46,418
37892,30,30,205
37955,13,13,372
37964,7,7,128
37992,2,2,2
37996,8,8,231
37998,10,10,94
38008,38,38,1091
38009,4,4,5
38045,13,13,130
38065,34,35,1955
38088,2,2,99
38117,9,9,30
38118,671,682,779
38141,15,15,423
38158,27,28,383
38176,5,5,22
38181,1,1,1
38198,4,4,167
38242,1,1,2
38306,5,5,418
38310,12,12,278
38352,3,3,27
38368,6,6,14
38411,2,2,121
38429,122,123,192
38440,5,5,145
38477,19,19,141
38512,45,45,84
38534,82,82,287
38558,1,1,155
38597,1,1,520
38640,1,1,721
38645,1,1,2
38715,7,7,64
38776,4,4,898
38839,22,22,438
38889,13,13,1326
38982,174,175,247
39111,280,284,715
39134,178,184,202
39178,4,4,141
39182,2,2,38
39186,14,14,58
39192,67,67,2225
39216,1,1,18
39217,3,3,9
39227,3,3,6
39238,16,16,1013
39255,7,7,7
39307,256,263,334
39312,6,6,109
39320,153,162,477
39350,29,29,46
39365,5,5,217
39407,9,9,177
39437,7,7,50
39438,29,30,170
39439,1,1,67
39449,27,27,104
39451,68,68,349
39459,43,43,991
39462,13,13,132
39468,66,66,119
39475,34,37,184
39488,4,4,8
39510,2,2,2
39527,36,37,1551
39587,6,6,122
39606,1,1,23
39607,72,72,1030
39609,3,3,82
39610,53,53,59
39628,155,157,3527
39632,3,3,253
39639,3,3,3
39645,130,135,2361
39650,1,1,1172
39653,10,10,2409
39656,415,422,1539
39668,2,2,137
39734,5,5,357
39739,4,4,511
39754,3,3,31
39760,43,43,79
39764,168,169,204
39796,59,62,1899
39797,22,22,739
39798,19,19,206
39811,14,15,536
39875,71,78,101
39909,173,173,254
39916,1,1,1597
39918,3,4,22
39936,244,256,558
39964,1,2,6
39967,233,247,420
39973,171,171,227
39982,9,9,206
39991,7,7,320
39998,1,1,68
39999,6,6,351
40003,2,2,88
40008,3,3,7
40010,5,5,229
40020,25,25,197
40062,1,1,191
40083,4,4,270
40088,55,55,79
40107,5,5,14
40134,4,4,142
40135,25,25,803
40166,17,19,946
40198,1,1,2
40215,95,97,154
40221,6,6,549
40235,3,3,76
40249,1,1,344
40257,8,8,32
40284,21,21,64
40293,57,59,1535
40296,8,8,279
40312,16,17,560
40326,43,43,340
40331,9,10,289
40401,30,31,995
40430,4,4,46
40431,141,142,1407
40432,52,52,427
40436,138,141,3440
40472,14,14,198
40489,62,62,395
40521,8,8,222
40522,12,12,125
40571,1,1,11
40588,105,107,930
40631,11,11,264
40643,18,18,169
40667,21,21,642
40686,14,14,1588
40692,1,1,217
40703,4,4,120
40705,6,6,85
40735,1,1,1
40772,15,15,15
40796,12,13,321
40799,7,8,61
40802,2,2,684
40816,7,7,48
40834,5,5,11
40844,32,32,349
40853,7,7,592
40889,8,8,767
40901,24,24,1187
40911,288,300,892
40926,25,25,37
40928,14,14,113
40957,249,252,295
41013,7,7,350
41020,6,6,6
41023,1,1,5
41042,44,44,411
41077,1,1,723
41084,23,25,863
41114,3,4,121
41116,1,1,4
41120,24,25,1716
41147,53,57,478
41158,19,19,526
41175,18,18,64
41203,131,148,692
41274,2,2,27
41301,17,17,117
41339,19,19,80
41403,2,2,32
41456,6,6,200
41527,38,38,291
41533,12,13,811
41609,4,4,168
41630,18,18,311
41635,1,1,76
41644,6,6,1516
41672,26,29,406
41733,15,16,95
41756,6,6,1247
41798,3,3,1026
41859,9,9,249
41897,8,8,109
41925,19,19,152
41944,1,1,32
41958,7,7,7
42009,1,1,27
42048,11,11,108
42050,11,11,17
42051,115,115,198
42072,12,12,413
42106,69,71,1132
42107,7,7,8
42112,44,45,64
42129,16,16,112
42147,15,15,146
42156,1,1,16
42162,5,5,9
42169,58,59,63
42204,9,10,277
42235,10,10,705
42279,4,4,155
42284,392,400,658
42312,3,3,110
42345,86,86,137
42348,20,20,116
42381,16,16,52
42425,63,68,1802
42492,3,3,19
42493,4,4,165
42500,5,5,670
42520,278,280,654
42549,20,22,733
42550,1,1,44
42596,6,7,38
42597,25,25,444
42622,58,58,245
42658,13,13,186
42688,1,1,15
42703,11,11,22
42717,157,159,1110
42723,1,1,33
42739,44,46,956
42757,4,4,20
42774,1,1,3
42778,4,4,395
42781,13,13,13
42799,4,4,191
42802,56,56,519
42809,48,50,840
42835,39,41,737
42837,118,119,120
42841,3,3,300
42845,14,15,1215
42862,6,6,159
42911,83,83,604
43021,1,1,9
43033,14,14,119
43044,3,3,61
43073,310,312,483
43074,2,2,140
43109,44,45,549
43118,17,17,51
43132,2,2,283
43134,18,18,660
43144,1,1,44
43155,9,9,56
43159,3,3,94
43161,26,26,45
43180,2,2,55
43196,6,6,326
43203,8,8,395
43216,12,12,12
43243,6,6,17
43257,1,1,182
43259,5,5,60
43339,1,1,117
43365,4,4,4
43390,58,58,580
43398,404,405,685
43448,22,23,2232
43449,17,18,599
43473,106,108,484
43502,91,91,253
43522,32,32,305
43568,2,2,458
43571,5,5,27
43582,799,803,1162
43632,193,193,3644
43699,463,493,2120
43760,5,5,946
43785,3,3,51
43794,2,2,52
43803,1,1,10
43817,40,40,1186
43835,2,2,505
43854,4,4,83
43902,1,1,21
43906,18,18,231
43910,146,151,2017
43913,85,89,312
43979,15,16,21
43981,5,5,135
43993,4,4,17
43999,1,1,18
44030,74,75,534
44058,27,28,1789
44067,1,1,123
44142,38,38,342
44164,9,9,94
44232,2,2,14
44295,8,8,13
44378,47,48,59
44387,2,2,103
44423,51,53,727
44426,24,25,1675
44440,59,65,104
44441,4,4,52
44442,10,10,598
44453,8,8,298
44544,1,1,1
44545,221,226,571
44562,15,15,353
44579,70,71,327
44581,3,3,3
44609,7,7,148
44627,5,5,12
44654,1,1,4
44662,4,4,140
44684,2,2,95
44688,1,1,10
44691,133,141,204
44701,2,2,2
44702,4,4,104
44718,202,217,13221
44731,3,3,82
44782,1,1,65
44814,149,153,195
44821,42,43,59
44833,1,1,677
44923,2,2,47
44938,7,7,113
44974,5,5,111
44989,1,1,62
44994,6,6,348
45020,2,2,553
45035,71,75,87
45047,175,192,2471
45058,6,6,360
45062,55,55,1370
45086,1,1,55
45091,1,1,123
45102,31,31,75
45111,6,6,173
45145,4,4,217
45147,62,63,768
45155,318,319,604
45164,3,3,366
45165,4,4,22
45194,12,12,49
45215,15,15,276
45223,1,1,302
45226,4,4,274
45229,2,2,27
45267,13,13,22
45286,113,114,164
45297,1,1,1190
45306,8,9,33
45316,25,27,1311
45322,5,5,14
45329,3,3,21
45348,116,116,282
45355,21,21,51
45370,1,1,558
45402,5,5,6
45465,31,32,315
45495,30,30,466
45547,7,7,30
45570,4,4,9
45578,8,8,1069
45595,64,67,153
45616,1,1,1713
45643,9,9,129
45658,2,2,13
45660,3,3,425
45711,24,24,66
45713,1,1,1
45728,4,5,38
45766,6,6,62
45767,8,8,207
45777,10,10,213
45903,21,21,869
45905,5,5,37
45915,3,3,265
45928,83,86,1550
45936,8,8,399
45963,3,3,208
45988,1,1,122
45995,6,7,78
46024,1,1,3
46036,2,2,6
46053,40,40,344
46101,8,8,8
46139,8,10,44
46171,7,7,42
46202,4,4,61
46233,13,13,210
46261,3,3,120
46284,1,1,34
46317,3,3,57
46321,2,2,1865
46337,40,40,95
46356,8,8,8
46392,42,45,913
46401,21,21,159
46408,44,45,450
46416,2,2,37
46420,33,33,40
46422,8,8,239
46432,23,23,41
46441,76,81,3623
46615,50,50,700
46655,5,5,174
46660,7,7,107
46768,4,4,377
46791,6,6,12
46804,6,8,1422
46808,18,18,21
46809,9,9,388
46835,6,6,26
46840,3,3,5
46851,13,13,61
46886,2,2,143
46952,40,40,1118
46965,3,3,133
47006,90,91,469
47035,1,1,50
47172,4,4,4
47266,3,3,649
47315,116,120,885
47323,54,54,390
47429,4,4,75
47524,5,5,260
47532,48,48,156
47563,16,17,224
47565,1,1,512
47575,9,9,726
47608,1,1,106
47632,7,7,68
47634,8,8,176
47651,1,1,15
47661,3,3,28
47663,127,128,178
47673,14,14,919
47675,3,3,90
47693,41,41,676
47698,15,15,21
47725,8,9,284
47741,35,35,148
47744,6,6,145
47766,34,40,268
47788,14,14,27
47836,2,2,88
47842,142,155,355
47861,3,3,62
47871,1,1,130
47895,7,7,8
47960,9,9,204
47966,4,4,4
47977,19,19,38
47986,2,2,110
47995,5,5,105
48006,98,99,146
48008,1,1,78
48014,28,29,34
48031,34,34,160
48045,7,8,16
48070,38,38,786
48083,20,21,283
48120,1,1,37
48127,8,8,30
48183,458,471,512
48196,6,6,6
48249,1,1,41
48272,1,1,70
48285,2,2,12
48299,9,9,142
48319,1,1,5
48393,3,3,1196
48396,89,91,130
48412,3,3,27
48433,13,13,56
48455,14,15,178
48470,4,4,24
48474,93,94,115
48487,16,16,303
48557,2,2,2
48569,15,15,20
48577,17,17,29
48609,18,19,28
48670,5,5,359
48687,17,17,531
48692,7,8,218
48764,306,318,906
48858,41,44,1303
48866,8,9,263
48982,2,2,316
48994,1535,1573,2184
49010,7,7,122
49022,30,31,50
49043,44,45,322
49044,66,66,206
49094,225,229,15154
49118,1,1,8
49119,2,2,196
49125,6,6,22
49159,1,1,33
49168,48,51,175
49214,1,1,93
49236,11,11,60
49254,9,9,23
49256,1,1,828
49294,4,4,32
49305,5,5,394
49323,20,20,565
49331,6,7,633
49335,20,20,44
49364,3,3,542
49368,1,1,129
49378,5,5,25
49395,6,6,125
49408,2,2,2
49422,1,1,25
49426,7,7,57
49429,10,10,21
49442,1,1,1122
49445,118,118,168
49448,5,5,11
49449,11,11,282
49454,2,2,42
49507,15,15,309
49583,6,6,16
49586,9,9,619
49645,8,8,203
49674,19,20,315
49680,3,4,31
49699,20,21,339
49744,6,7,130
49775,26,26,241
49780,1,1,288
49783,3,3,102
49785,32,32,57
49799,19,20,202
49803,43,44,368
49828,6,6,7
49839,6,6,82
49841,1,1,483
49859,371,376,511
49867,61,61,518
49869,1,1,30
49886,7,7,9
49890,1,1,112
49906,2,2,17
49948,5,5,121
49949,197,198,961
49950,2,2,5
50018,1,1,56
50024,12,12,671
50033,86,90,3076
50037,1,1,20
50058,58,64,1648
50070,1,1,55
50082,39,41,863
50083,12,12,335
50114,42,44,356
50118,4,4,200
50130,2,3,1121
50141,2,2,36
50146,1,1,2
50158,780,781,1037
50165,2,2,96
50169,36,38,718
50175,8,8,8
50176,48,52,911
50189,2,2,5
50208,6,6,402
50227,5,5,344
50236,5,6,1064
50237,1,1,3
50246,35,37,234
50255,9,9,350
50262,4,4,493
50264,7,7,53
50268,1,1,68
50271,2,2,2
50281,1,1,325
50297,157,165,1025
50298,10,10,87
50310,9,9,277
50329,6,6,328
50331,9,9,9
50335,7,7,223
50351,9,9,166
50369,9,9,157
